"","Institution","Mean_Citations","Historically_Adv_Disav","Number_of_Articles"
"1","ANPL",20,"Advantage",1
"2","UCT",0,"Advantage",2
"3","UCT",1,"Advantage",6
"4","UCT",2,"Advantage",1
"5","UCT",4,"Advantage",4
"6","UCT",5,"Advantage",5
"7","UCT",6,"Advantage",11
"8","UCT",7,"Advantage",5
"9","UCT",8,"Advantage",3
"10","UCT",9,"Advantage",5
"11","UCT",10,"Advantage",3
"12","UCT",11,"Advantage",7
"13","UCT",12,"Advantage",8
"14","UCT",13,"Advantage",3
"15","UCT",14,"Advantage",4
"16","UCT",15,"Advantage",5
"17","UCT",16,"Advantage",5
"18","UCT",17,"Advantage",5
"19","UCT",18,"Advantage",7
"20","UCT",19,"Advantage",2
"21","UCT",20,"Advantage",2
"22","UCT",21,"Advantage",4
"23","UCT",22,"Advantage",1
"24","UCT",23,"Advantage",2
"25","UCT",24,"Advantage",2
"26","UCT",25,"Advantage",4
"27","UCT",26,"Advantage",5
"28","UCT",27,"Advantage",3
"29","UCT",28,"Advantage",6
"30","UCT",29,"Advantage",3
"31","UCT",30,"Advantage",3
"32","UCT",31,"Advantage",6
"33","UCT",32,"Advantage",2
"34","UCT",33,"Advantage",1
"35","UCT",34,"Advantage",2
"36","UCT",35,"Advantage",3
"37","UCT",36,"Advantage",2
"38","UCT",37,"Advantage",2
"39","UCT",38,"Advantage",2
"40","UCT",39,"Advantage",5
"41","UCT",40,"Advantage",3
"42","UCT",41,"Advantage",3
"43","UCT",42,"Advantage",6
"44","UCT",43,"Advantage",2
"45","UCT",44,"Advantage",1
"46","UCT",46,"Advantage",3
"47","UCT",47,"Advantage",1
"48","UCT",48,"Advantage",1
"49","UCT",50,"Advantage",3
"50","UCT",51,"Advantage",2
"51","UCT",52,"Advantage",1
"52","UCT",54,"Advantage",2
"53","UCT",55,"Advantage",3
"54","UCT",56,"Advantage",2
"55","UCT",57,"Advantage",2
"56","UCT",58,"Advantage",1
"57","UCT",59,"Advantage",2
"58","UCT",60,"Advantage",1
"59","UCT",61,"Advantage",3
"60","UCT",63,"Advantage",2
"61","UCT",64,"Advantage",1
"62","UCT",66,"Advantage",3
"63","UCT",67,"Advantage",1
"64","UCT",69,"Advantage",1
"65","UCT",70,"Advantage",2
"66","UCT",72,"Advantage",1
"67","UCT",73,"Advantage",1
"68","UCT",74,"Advantage",1
"69","UCT",75,"Advantage",2
"70","UCT",76,"Advantage",1
"71","UCT",80,"Advantage",1
"72","UCT",81,"Advantage",1
"73","UCT",84,"Advantage",1
"74","UCT",85,"Advantage",2
"75","UCT",90,"Advantage",1
"76","UCT",92,"Advantage",2
"77","UCT",96,"Advantage",1
"78","UCT",98,"Advantage",1
"79","UCT",100,"Advantage",1
"80","UCT",102,"Advantage",1
"81","UCT",105,"Advantage",5
"82","UCT",106,"Advantage",1
"83","UCT",107,"Advantage",3
"84","UCT",115,"Advantage",2
"85","UCT",118,"Advantage",2
"86","UCT",120,"Advantage",1
"87","UCT",122,"Advantage",1
"88","UCT",123,"Advantage",1
"89","UCT",127,"Advantage",1
"90","UCT",136,"Advantage",1
"91","UCT",148,"Advantage",1
"92","UCT",157,"Advantage",1
"93","UCT",160,"Advantage",1
"94","UCT",207,"Advantage",1
"95","UCT",223,"Advantage",1
"96","UCT",241,"Advantage",1
"97","UWC",4,"Disadvantage",1
"98","UWC",6,"Disadvantage",2
"99","UWC",11,"Disadvantage",1
"100","UWC",13,"Disadvantage",1
"101","UWC",22,"Disadvantage",1
"102","UWC",25,"Disadvantage",1
"103","UWC",115,"Disadvantage",1
"104","Wits",0,"Advantage",2
"105","Wits",1,"Advantage",7
"106","Wits",2,"Advantage",6
"107","Wits",3,"Advantage",6
"108","Wits",4,"Advantage",4
"109","Wits",5,"Advantage",3
"110","Wits",6,"Advantage",6
"111","Wits",7,"Advantage",7
"112","Wits",8,"Advantage",5
"113","Wits",9,"Advantage",5
"114","Wits",10,"Advantage",7
"115","Wits",11,"Advantage",2
"116","Wits",12,"Advantage",5
"117","Wits",13,"Advantage",6
"118","Wits",14,"Advantage",5
"119","Wits",15,"Advantage",2
"120","Wits",16,"Advantage",6
"121","Wits",17,"Advantage",5
"122","Wits",18,"Advantage",4
"123","Wits",19,"Advantage",3
"124","Wits",20,"Advantage",3
"125","Wits",21,"Advantage",8
"126","Wits",22,"Advantage",3
"127","Wits",23,"Advantage",1
"128","Wits",24,"Advantage",5
"129","Wits",25,"Advantage",2
"130","Wits",26,"Advantage",2
"131","Wits",27,"Advantage",1
"132","Wits",29,"Advantage",1
"133","Wits",30,"Advantage",2
"134","Wits",31,"Advantage",1
"135","Wits",32,"Advantage",3
"136","Wits",33,"Advantage",1
"137","Wits",34,"Advantage",1
"138","Wits",35,"Advantage",2
"139","Wits",36,"Advantage",3
"140","Wits",38,"Advantage",3
"141","Wits",39,"Advantage",3
"142","Wits",40,"Advantage",3
"143","Wits",41,"Advantage",1
"144","Wits",42,"Advantage",3
"145","Wits",43,"Advantage",1
"146","Wits",45,"Advantage",1
"147","Wits",47,"Advantage",2
"148","Wits",48,"Advantage",2
"149","Wits",49,"Advantage",1
"150","Wits",50,"Advantage",1
"151","Wits",52,"Advantage",1
"152","Wits",52,"Disadvantage",1
"153","Wits",53,"Advantage",1
"154","Wits",54,"Advantage",2
"155","Wits",56,"Advantage",1
"156","Wits",57,"Advantage",1
"157","Wits",58,"Advantage",1
"158","Wits",60,"Advantage",1
"159","Wits",61,"Advantage",1
"160","Wits",62,"Advantage",1
"161","Wits",64,"Advantage",2
"162","Wits",65,"Advantage",1
"163","Wits",68,"Advantage",1
"164","Wits",69,"Advantage",2
"165","Wits",70,"Advantage",1
"166","Wits",72,"Advantage",2
"167","Wits",77,"Advantage",1
"168","Wits",81,"Advantage",1
"169","Wits",84,"Advantage",1
"170","Wits",87,"Advantage",1
"171","Wits",90,"Advantage",1
"172","Wits",94,"Advantage",1
"173","Wits",97,"Advantage",1
"174","Wits",99,"Advantage",1
"175","Wits",101,"Advantage",1
"176","Wits",102,"Advantage",1
"177","Wits",104,"Advantage",1
"178","Wits",108,"Advantage",1
"179","Wits",120,"Advantage",2
"180","Wits",134,"Advantage",1
"181","Wits",139,"Advantage",1
"182","Wits",155,"Advantage",2
"183","Wits",171,"Advantage",1
"184","Wits",179,"Advantage",1
"185","Wits",191,"Advantage",1
"186","Wits",262,"Advantage",1
"187","Wits",292,"Advantage",1
